,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.667377595524158e-13
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.3232084578903596e-13
2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.707168236947837e-13
3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.6068036618198676e-13
4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.170175067954915e-13
5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.750155989720952e-14
6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0588864774472313e-12
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.839773109528323e-14
8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.773159728050814e-15
9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.881784197001252e-15
10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.1530333899354446e-14
11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.661960038125471e-13
12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.438849039914203e-13
13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.241229341530925e-13
14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.571721027943568e-14
15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.350475700855895e-14
16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.042011087472929e-14
17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.5498713423767185e-13
18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.4661162828797387e-13
19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.2426505097428162e-14
20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.041656312547275e-13
21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.128431095930864e-14
22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.271605539926895e-11
23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.219024881038422e-13
