,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,1.0,2.157011167224627e-48,1.0,1.0,1.0,7.912469157618592e-35,1.0,4.236047763972129e-176,3.2042172653788436e-41,2.4773788546018046e-165,0.6402371604564987
1,1.0,1.2127403714930338e-47,1.0,1.0,1.0,4.522323526871877e-35,1.0,1.4131422103507327e-176,6.272799196615034e-41,1.5432090702703402e-165,0.8493126995276433
2,1.0,1.005420885644806e-48,1.0,1.0,1.0,4.198079207033901e-34,1.0,3.26783467653663e-176,8.251165617929246e-42,2.4474787454752873e-164,0.5841415910894799
3,1.0,7.201589878870293e-49,1.0,1.0,1.0,3.9751847606451626e-35,1.0,3.7287312728884123e-177,3.292724520975457e-41,3.421576370441604e-166,0.8249370754620666
4,1.0,1.4456079257478409e-49,1.0,1.0,1.0,2.6253594789036544e-33,1.0,8.865744433764122e-177,2.0534477152395991e-41,4.3364651508546075e-166,0.9464441287974366
5,1.0,5.70062789567055e-48,1.0,1.0,1.0,5.280608876208397e-34,1.0,1.14804527573174e-177,2.8717275524557364e-42,2.169946031364325e-166,0.9510867052557861
6,1.0,4.8573358580308846e-49,1.0,1.0,1.0,4.817394358670116e-33,1.0,9.218449039591001e-178,2.7463212552154486e-42,8.09972510675605e-167,0.3228287739834345
7,1.0,4.236404210019379e-47,1.0,1.0,1.0,2.763165575262763e-34,1.0,5.931942000290667e-178,1.1439332073851151e-42,7.194992163757301e-168,0.9534653181933039
8,1.0,1.2717212875883962e-48,1.0,1.0,1.0,4.564532310124121e-34,1.0,5.155883463906785e-178,2.08661626172004e-42,1.0291709231753928e-166,0.9933729602123034
9,1.0,1.3375252368931121e-48,1.0,1.0,1.0,2.042766538172099e-34,1.0,4.884174633823106e-178,2.3505688799468604e-42,7.95370395079009e-167,0.9894658220602888
10,1.0,1.5116199587002457e-48,1.0,1.0,1.0,2.8254528344625347e-34,1.0,2.9293788462059227e-179,6.316224691095786e-42,3.8932149627368055e-167,0.990222295451451
11,1.0,2.717815806676789e-49,1.0,1.0,1.0,1.0430826944928726e-35,1.0,8.478402045938176e-179,1.7041101221668117e-42,1.0477769280966372e-168,0.9050876090732776
12,1.0,2.5282376920183155e-50,1.0,1.0,1.0,1.7920704003897993e-34,1.0,4.733786554594193e-179,1.5735151143910921e-41,1.1143332051903784e-168,0.6804019044805009
13,1.0,2.96111862217029e-48,1.0,1.0,1.0,1.0666753892245314e-35,1.0,1.502922739258821e-179,2.5185286544818024e-42,2.779284270333082e-168,0.8896166975000256
14,1.0,1.7751026059281916e-49,1.0,1.0,1.0,1.2755685459951533e-34,1.0,8.989743590137838e-181,1.022598571356115e-42,2.5899110223930797e-168,0.9438197138912774
15,1.0,5.592968625749957e-50,1.0,1.0,1.0,1.2083981469215397e-33,1.0,8.281176681603375e-179,3.4817076943712627e-42,1.0923955830545724e-167,0.9095494603700169
16,1.0,1.5474486059804394e-49,1.0,1.0,1.0,1.2795986269930457e-34,1.0,3.1044227889752326e-181,6.326198683861412e-42,1.140198604314568e-168,0.9671279599107816
17,1.0,9.73187597801627e-49,1.0,1.0,1.0,3.1212882542204614e-36,1.0,1.364487780617475e-178,2.3934469145237322e-42,4.5971395968656116e-170,0.8247346816935037
18,1.0,4.077775349472802e-48,1.0,1.0,1.0,7.142206666931618e-36,1.0,1.0637500013036202e-180,9.650471460434047e-42,1.2411580419653323e-169,0.8144371413963503
19,1.0,5.023328459232302e-50,1.0,1.0,1.0,6.650658291443957e-35,1.0,1.2610701890196479e-179,4.9123671021310146e-42,1.5392909253874103e-169,0.9455819758072966
20,1.0,3.136328659978708e-50,1.0,1.0,1.0,2.546265754115364e-34,1.0,3.1713641159483325e-182,7.304294059400388e-43,5.864800614893478e-170,0.545332281830318
21,1.0,7.534794553232105e-50,1.0,1.0,1.0,1.7102468270655656e-34,1.0,1.1796965038994838e-181,2.4389707231728018e-42,4.663286406071243e-170,0.9056253955706643
22,1.0,1.055816930472442e-49,1.0,1.0,1.0,1.1144137325791747e-34,1.0,3.330891337088868e-182,1.1265319552010502e-42,2.8571432296723624e-170,0.04243751160357994
23,1.0,3.4204114032522474e-50,1.0,1.0,1.0,1.0280503449257267e-34,1.0,7.461041225631015e-183,4.90385903170824e-43,1.3733724307552992e-170,0.842634462087935
24,1.0,1.9349475730586668e-48,1.0,1.0,1.0,7.727622485994745e-36,1.0,3.981440787645258e-182,4.152366090347223e-43,2.3578885334535258e-171,0.9102189276993814
25,1.0,1.3763252522792804e-48,1.0,1.0,1.0,2.7875570393563026e-36,1.0,2.608183657725698e-182,2.1825446127288113e-43,1.9792356127541261e-171,0.9658813721342249
26,1.0,1.9596495617053504e-48,1.0,1.0,1.0,1.1024422013255801e-36,1.0,1.6428670794003455e-183,2.128444613468163e-41,3.760490585733411e-171,0.11655166119171548
27,1.0,9.37860560778929e-50,1.0,1.0,1.0,7.582355996572966e-35,1.0,4.083822123293924e-184,2.286256833288791e-42,5.954568236941574e-171,0.9880883011514519
28,1.0,2.1369924800925534e-50,1.0,1.0,1.0,1.1196362338170941e-34,1.0,6.061459573193725e-184,1.0076953186361079e-42,7.230590519451197e-171,0.9391152538898419
29,1.0,7.723494996443311e-49,1.0,1.0,1.0,2.821497209112068e-35,1.0,1.1076193287078129e-183,4.5616621627100406e-43,1.871581210361443e-172,0.21935096661126594
30,1.0,1.825265460657039e-50,1.0,1.0,1.0,1.9134918236595792e-35,1.0,4.320600058607778e-183,2.225883087208258e-43,2.894389375780066e-172,0.975881616896844
