,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,1.0,1.6582817148027908e-103,1.0,1.0,1.0,1.3306130216913198e-127,1.0,1.7961079518718833e-114,2.1612313774943023e-63,6.200142267767951e-122,1.0
1,1.0,6.204926688440745e-104,1.0,1.0,1.0,5.428691111031039e-127,1.0,3.252644709132752e-114,4.528042342457731e-63,2.3327912938325908e-122,1.0
2,1.0,1.78208803800286e-105,1.0,1.0,1.0,5.168957421852101e-127,1.0,2.137738267689305e-115,1.4155045532198348e-63,1.390288300743546e-121,1.0
3,1.0,5.071675935434596e-105,1.0,1.0,1.0,1.3398033094391997e-127,1.0,2.5540345748177486e-115,6.754185542984219e-63,2.3537847780330103e-122,1.0
4,1.0,4.450584280566822e-106,1.0,1.0,1.0,9.501095863343814e-127,1.0,4.690288515280226e-115,1.1810759525158935e-63,3.74986118497943e-122,1.0
5,1.0,4.321001431694902e-105,1.0,1.0,1.0,6.351852544345747e-128,1.0,2.000043056559567e-116,1.7818474321076932e-64,6.381085783728094e-123,1.0
6,1.0,7.270647494224871e-106,1.0,1.0,1.0,1.4163695997729446e-126,1.0,1.2534287109251232e-115,1.724852019836736e-64,7.320495584690772e-123,1.0
7,1.0,7.021240834089998e-104,1.0,1.0,1.0,5.130932835690322e-128,1.0,4.288443997200275e-115,2.6399150805222327e-65,3.3849658797225596e-124,1.0
8,1.0,3.793473338892939e-106,1.0,1.0,1.0,5.861755308689982e-128,1.0,1.818150446660423e-115,1.9203152295292095e-64,5.603878789507087e-123,1.0
9,1.0,1.5427116558065283e-105,1.0,1.0,1.0,1.839877903253089e-128,1.0,3.673790458499563e-116,4.987198547444409e-65,7.171118148243935e-123,1.0
10,1.0,1.1625575981724892e-105,1.0,1.0,1.0,6.779036041678487e-129,1.0,1.8641244609270432e-115,1.5509660152472697e-64,6.127609519601762e-124,1.0
11,1.0,3.2824054780262466e-106,1.0,1.0,1.0,2.657416876556579e-129,1.0,6.990728263383228e-116,3.0308530490626437e-65,1.3122916048978526e-124,1.0
12,1.0,1.291176377983639e-106,1.0,1.0,1.0,7.832459487195523e-128,1.0,2.1663367152444805e-116,1.0200470456818235e-63,4.62334853219968e-124,1.0
13,1.0,2.4550305395801133e-105,1.0,1.0,1.0,2.6267905419056642e-129,1.0,6.474845991313114e-116,4.060471420637866e-65,1.2829109310561905e-124,1.0
14,1.0,2.0988168509140287e-107,1.0,1.0,1.0,1.7024632112506777e-129,1.0,2.163430038591187e-117,3.853174416060506e-65,3.2131594501579054e-124,1.0
15,1.0,2.079496016840228e-107,1.0,1.0,1.0,4.4593489080282954e-129,1.0,5.275273620906273e-116,6.15016457385583e-65,1.1621884910210394e-123,1.0
16,1.0,5.618701135742082e-107,1.0,1.0,1.0,2.671181997530059e-129,1.0,2.9905692103954412e-117,5.940651899953156e-65,1.3225257153307626e-124,1.0
17,1.0,3.2402796045263132e-106,1.0,1.0,1.0,1.0847445985231335e-130,1.0,1.155530478096026e-115,4.9897670025228695e-65,1.605013579378615e-125,1.0
18,1.0,4.405468814495377e-106,1.0,1.0,1.0,1.789119659196236e-130,1.0,8.235499115997144e-117,7.473284078052518e-65,1.8776057334078775e-125,1.0
19,1.0,5.3937971208370535e-108,1.0,1.0,1.0,4.414919063984459e-130,1.0,6.113121391646336e-117,1.1281161928558082e-64,1.0945539801419819e-124,1.0
20,1.0,4.914672043434661e-108,1.0,1.0,1.0,6.856600672252306e-130,1.0,5.082575323089781e-119,1.8416169298576168e-65,9.930048648691206e-126,1.0
21,1.0,1.46054574575266e-107,1.0,1.0,1.0,2.4543626449726354e-129,1.0,2.356701006380549e-117,1.9386813876318976e-65,6.954551887737641e-126,1.0
