,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,1.0,1.7258785504724964e-113,0.9999999999996603,1.0,4.955216187302041e-119,8.270581987602248e-21,1.0,3.177117320752071e-75,2.9007760920011303e-133,8.003209072806083e-50,1.0
1,1.0,1.9154266260743245e-113,0.9999999999987599,1.0,4.349369741712596e-118,2.5373708553879605e-20,1.0,2.972897933318546e-75,1.6027928585809974e-133,5.821476028672084e-50,1.0
2,1.0,3.790670123052666e-115,0.9999999999998561,1.0,8.119622328458131e-120,1.3092948893158557e-19,1.0,8.05559836545591e-76,1.9756255456907896e-134,1.9030754386623875e-49,1.0
3,1.0,2.687827512876171e-114,0.999999999998975,1.0,8.124634024027869e-119,1.906073721503421e-20,1.0,4.57107382538975e-76,6.448744305651936e-134,7.409899680127039e-50,1.0
4,1.0,1.2889194961648103e-115,0.9999999999996247,1.0,3.339970670689905e-119,7.233362168676725e-19,1.0,2.43353049431636e-75,1.0726166016200052e-134,3.490200636994603e-50,1.0
5,1.0,3.537628263264049e-115,0.9999999999987816,1.0,7.452949846893926e-119,3.3366878503448656e-19,1.0,1.2513606967965583e-75,1.1798601937948783e-135,1.4366456800206135e-50,1.0
6,1.0,5.580590047808525e-115,0.9999999999973326,1.0,4.587698419406579e-119,1.036827880160184e-18,1.0,2.390368746342093e-76,2.352194271427173e-136,2.6510454202364217e-50,1.0
7,1.0,2.954478908178555e-113,0.9999999999985238,1.0,1.0283269162123013e-120,3.7460474788736603e-19,1.0,9.939324447911936e-76,3.452541430083943e-136,1.4405883988050878e-51,1.0
8,1.0,7.753578840293755e-116,0.9999999999992093,1.0,3.2915947153785496e-118,1.3513250497823468e-19,1.0,1.502396021302726e-75,1.514147332674368e-135,4.812672931915466e-50,1.0
9,1.0,3.389440641321393e-115,0.9999999999995983,1.0,1.2774830712568581e-120,8.927529300495127e-20,1.0,3.432339976850274e-76,4.7766075247593266e-136,3.645335174762181e-50,1.0
10,1.0,4.938407006858898e-116,0.9999999999985172,1.0,8.767452056457418e-122,4.093538981318377e-19,1.0,1.132411544922654e-75,1.6428563716571693e-136,7.778411161910142e-51,1.0
11,1.0,4.542639434876831e-116,0.9999999999993212,1.0,8.89276592107937e-121,3.1783955255383436e-20,1.0,1.1426860220362463e-75,1.5646325243755932e-136,3.724192169577336e-51,1.0
12,1.0,2.2319841375576126e-116,0.9999999999997555,1.0,5.579286966430245e-121,6.39602033847259e-20,1.0,1.5581678411617803e-76,3.6532208718469564e-135,2.3444440125616563e-50,1.0
13,1.0,6.3677981157853905e-115,0.999999999999098,1.0,3.004628508770669e-121,2.1530380539269496e-20,1.0,4.2011574416914465e-76,8.548379591119435e-137,5.979562140401853e-51,1.0
14,1.0,1.0224840434927293e-116,0.9999999999992544,1.0,6.551097296919916e-121,2.4492955965315016e-19,1.0,1.489436785729975e-76,6.357832307825177e-137,6.129990794765774e-51,1.0
15,1.0,5.251372781556997e-117,0.9999999999999158,1.0,1.3276849303026092e-122,2.0990309382464947e-19,1.0,4.446889108883133e-76,7.481663982963156e-137,5.11013798962942e-50,1.0
16,1.0,1.4142635479814334e-116,0.9999999999993676,1.0,5.700762768466574e-121,6.513262696616047e-20,1.0,5.930747643199858e-78,1.906906878300049e-136,1.8544382969946067e-51,1.0
17,1.0,7.104334676473645e-116,0.9999999999967302,1.0,9.280640756267335e-123,4.472282603684122e-21,1.0,3.314275799651854e-75,1.0196773231297489e-136,1.5012641037588e-51,1.0
18,1.0,1.525339825557204e-115,0.9999999999973674,1.0,8.452814682460333e-122,2.2336709796452033e-20,1.0,5.91691538834929e-77,4.0903781776821433e-137,8.71016226731008e-52,1.0
19,1.0,1.1694464326826671e-117,0.9999999999979261,1.0,4.2405433375653684e-121,3.7031922957350816e-20,1.0,3.769383967152271e-76,4.2773220725771717e-137,4.5371352024688395e-51,1.0
20,1.0,3.978028164141053e-118,0.9999999999999261,1.0,1.0163004119240072e-121,1.6081038555888637e-19,1.0,2.414315562795344e-78,1.8031039092219916e-138,1.355044823041864e-51,1.0
21,1.0,8.122480528663704e-118,0.9999999999997811,1.0,9.95518118342876e-121,1.0771618919370364e-19,1.0,2.23343919757793e-77,8.778438921590424e-138,1.3279300730565777e-51,1.0
22,1.0,2.43861184540079e-117,0.999999999998924,1.0,1.0670926717214164e-121,1.0520447009202589e-19,1.0,3.3508306037607983e-79,3.431677440399337e-138,9.396586032823434e-52,1.0
23,1.0,9.514778669747956e-118,0.9999999999820752,1.0,1.3996842366560316e-120,5.504847224302847e-20,1.0,1.9965755106991985e-78,1.6130984166941727e-138,1.159301887721769e-51,1.0
24,1.0,2.2780994069040933e-116,0.9999999999990896,1.0,3.1215454729812793e-124,4.2431982727553046e-20,1.0,5.1577828562530294e-77,7.621432843541182e-139,2.771428763940815e-52,1.0
25,1.0,2.1993674199487617e-116,0.9999999999983269,1.0,5.2632450145715703e-123,8.689435883144583e-21,1.0,2.245819173443715e-77,5.234393761334606e-139,6.994509742641934e-52,1.0
26,1.0,1.0131047672586186e-116,0.9999999999975631,1.0,1.4247938990868188e-121,3.1163434647133313e-21,1.0,4.2774489252878554e-79,7.189321008772695e-138,8.340669026281975e-53,1.0
27,1.0,2.350844357820608e-118,0.9999999999997073,1.0,4.131445041571561e-122,7.169539644913459e-20,1.0,4.8163110961946866e-79,3.321069887909725e-138,1.5453130159549272e-51,1.0
28,1.0,8.246177926932556e-119,0.9999999999999449,1.0,1.677397853519497e-123,1.088862150078396e-19,1.0,1.11722138059919e-78,4.269185592129123e-139,4.7768209911587375e-52,1.0
29,1.0,2.6362382877992935e-117,0.9999999999960694,1.0,3.0742260702090846e-124,5.888081624176382e-20,1.0,1.6642960030744623e-78,2.4461414167446383e-139,3.809442647473176e-52,1.0
30,1.0,2.6961845125977296e-119,0.9999999999998463,1.0,2.7006700885752342e-123,4.9643134104650467e-20,1.0,2.346222270174992e-77,2.566442427959984e-139,1.838724689023621e-52,1.0
31,1.0,4.6489988819772727e-119,0.9999999999954603,1.0,9.093649441589976e-125,1.1584983882067485e-21,1.0,2.1286989570626055e-76,9.743546650134632e-140,1.2177722670180264e-52,1.0
32,1.0,1.2921308973061255e-118,0.9999999999605989,1.0,2.1219554840537767e-122,9.94464688188908e-21,1.0,5.2479471579113615e-78,3.374803233615841e-139,1.9587200977091034e-53,1.0
33,1.0,1.0525670562460647e-119,0.9999999999996412,1.0,5.264893134327993e-125,1.442806293131946e-19,1.0,2.864516766267705e-79,1.198769857187148e-139,9.416189834995689e-52,1.0
34,1.0,1.853368902915162e-119,0.9999999999989291,1.0,4.89483185864762e-123,1.6331378499215378e-20,1.0,1.1869814440075646e-79,5.645994305554812e-140,1.37181073388057e-53,1.0
35,1.0,5.106372642712286e-120,0.9999999999999849,1.0,5.185836768670884e-125,2.216521851114868e-19,1.0,2.172082747948491e-78,1.2827777032699227e-140,9.319640839814913e-53,1.0
36,1.0,1.8928771875619415e-119,0.9999999999997933,1.0,6.259736722748582e-125,5.6208428118801224e-21,1.0,3.836946062983284e-78,1.280006656349212e-140,1.694590776972809e-52,1.0
37,1.0,3.789312357871394e-120,0.9999999999999916,1.0,4.833368359201408e-125,2.711453641016207e-20,1.0,4.979022317223687e-79,1.144543992381372e-140,8.12360903685486e-53,1.0
38,1.0,2.0205347398876696e-121,0.9999999999998015,1.0,3.2674985458028064e-125,5.425608970747837e-22,1.0,1.4914480645276211e-77,1.180646841256998e-140,2.0517884522281147e-53,1.0
39,1.0,7.628047844821446e-121,0.9999999999996494,1.0,1.4887272448483157e-124,1.2966311213647339e-21,1.0,1.6751647509438121e-80,4.5930740834484587e-141,6.084442171367115e-53,1.0
40,1.0,2.0819528626828912e-120,0.9999999999998797,1.0,2.1869640951031954e-124,1.6940720014843627e-20,1.0,1.252510027682658e-79,8.221960507727521e-141,5.172362401382727e-53,1.0
41,1.0,7.713556450510346e-119,0.999999999999599,1.0,7.923648106360395e-126,2.280926244965798e-21,1.0,2.1690993527381378e-79,1.4566805663207226e-141,2.7312687335827673e-53,1.0
42,1.0,1.6746934453672247e-120,0.9999999999999445,1.0,9.481792883720315e-126,2.768184850462227e-19,1.0,1.3616426496355565e-79,1.3303343181674097e-141,1.8972706227215893e-52,1.0
43,1.0,7.550885955132514e-121,0.9999999999997511,1.0,5.274599934812442e-126,3.527424459814286e-21,1.0,1.8438454878726707e-79,9.321378546804645e-143,1.304341429845724e-52,1.0
44,1.0,2.6300224241502984e-119,0.9999999999996401,1.0,1.719774783111507e-126,3.9601559831268425e-21,1.0,5.795497857019029e-80,5.241268271458676e-142,1.2487535243595068e-53,1.0
45,1.0,1.2798139908105036e-120,0.9999999999988414,1.0,7.761258635720947e-127,2.6129605827667655e-21,1.0,3.874247088737999e-80,3.265987954999981e-141,1.3133253808350004e-53,1.0
46,1.0,1.3410180253776199e-119,0.9999999999992284,1.0,1.34681755687783e-126,4.301673178285502e-21,1.0,2.5190165091949667e-79,5.40984012399263e-143,1.421594122378843e-53,1.0
47,1.0,1.1811822421192151e-120,0.9999999999988125,1.0,1.1172112704088812e-127,7.096685821694227e-20,1.0,9.169855733388265e-82,7.526895427928885e-143,9.090647962006959e-54,1.0
48,1.0,3.606712156463047e-122,0.9999999999998856,1.0,1.714395094508574e-125,7.226983978302503e-21,1.0,3.3721215685019954e-80,5.053419164569774e-143,2.0243696605262569e-53,1.0
49,1.0,6.676367946305154e-122,0.9999999999993041,1.0,7.147996755730341e-129,4.422943722253387e-22,1.0,3.442942143016746e-77,9.520046787592187e-143,1.0112913205278312e-54,1.0
50,1.0,5.166684940701354e-121,0.9999999999992901,1.0,3.155200995967284e-127,7.88405876947688e-21,1.0,7.380101225274257e-81,7.395820398182717e-144,7.37209761346912e-54,1.0
51,1.0,9.811757168427651e-121,0.9999999999989568,1.0,5.091259929991902e-128,4.4492737105046004e-21,1.0,2.1635917024436608e-79,3.9280856789978954e-143,8.359462999929313e-54,1.0
52,1.0,8.225992260019642e-122,0.9999999999996954,1.0,1.8763178127759725e-128,4.8228812793707184e-21,1.0,7.97980572987509e-81,4.032719173008214e-142,2.3126235815677332e-54,1.0
53,1.0,2.309212675995939e-123,0.9999999999997335,1.0,1.9576221415565836e-125,1.0408757921880004e-20,1.0,1.217775679397989e-80,3.5863562986981586e-144,3.43358651239868e-54,1.0
54,1.0,4.430567263444042e-122,0.9999999999997751,1.0,6.350315837128421e-129,6.1925066644325146e-21,1.0,8.439294017926947e-80,1.1553986916588677e-143,7.052231382982227e-55,1.0
55,1.0,2.9321140307292496e-122,0.9999999999986768,1.0,8.146605490226292e-127,3.8623604468069505e-21,1.0,1.1165414180072129e-81,2.109802435507508e-144,6.197035847885892e-55,1.0
56,1.0,2.292451843341313e-121,0.9999999999999023,1.0,1.0983640300915444e-129,4.1990521596962297e-22,1.0,1.2885071078293758e-80,5.244236180967373e-145,4.07280788098627e-54,1.0
57,1.0,1.4722392804539115e-121,0.9999999999994149,1.0,1.2421688148127974e-127,2.5056010582210458e-21,1.0,5.113926819983553e-81,1.2223390816992482e-144,3.267332252456843e-54,1.0
58,1.0,5.96792397232856e-121,0.9999999999984781,1.0,7.88466767748193e-129,2.7345467215574544e-22,1.0,8.938349907576516e-81,1.8209258966108672e-144,5.170801735159057e-55,1.0
59,1.0,3.151786083086513e-121,0.9999999999986156,1.0,7.655537027850813e-130,2.652429294765306e-21,1.0,5.334710249966429e-80,1.6210571964612106e-145,1.407573955639546e-54,1.0
60,1.0,8.287655851424578e-123,0.9999999999996216,1.0,5.571089365382225e-127,1.9857329862729217e-20,1.0,2.720137676287536e-81,1.8741545144703983e-145,1.822506510409308e-54,1.0
61,1.0,1.3130641821959985e-123,0.999999999999788,1.0,8.41715620380327e-128,6.282114852312977e-21,1.0,9.192748039811068e-82,6.968942262252339e-146,2.8740485316206307e-54,1.0
62,1.0,2.522603153400928e-125,0.9999999999999198,1.0,2.4029258284187297e-128,4.313147947695461e-20,1.0,1.0845017064072446e-81,1.7455202299433324e-145,2.7815050672712264e-54,1.0
63,1.0,7.582598452296573e-123,0.9999999999998845,1.0,5.5920675417964653e-129,1.594005779228659e-21,1.0,3.6095262640184914e-82,3.1706715457058853e-146,2.728708855235707e-54,1.0
64,1.0,4.726604940046467e-124,0.9999999999973508,1.0,3.839945309478925e-130,1.2202634729163376e-22,1.0,2.6473395780787785e-79,1.4735790364276266e-145,1.8514132111724405e-55,1.0
65,1.0,6.1697142327995e-126,0.9999999999999933,1.0,1.6895196147470548e-129,7.69023254023899e-21,1.0,7.543469865151821e-82,1.0135396497164368e-145,1.0606681671244416e-54,1.0
66,1.0,4.497553700695391e-125,0.9999999999999689,1.0,8.408113034674279e-132,6.52266559103925e-21,1.0,1.752478557585289e-81,1.2712188470136223e-145,2.8059845070655986e-54,1.0
